Product ID,Price,Start_Date,End_Date,Is_Promo,Event
15,639200,2024-11-15,2024-11-30,1,Black Friday 2024
15,799000,2024-12-01,2025-01-10,0,Pre-Tet
15,679150,2025-01-11,2025-01-31,1,Tet Sale 2025
15,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
15,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
15,838950,2025-07-16,2025-12-15,0,Standard End 2025
30,427000,2022-01-01,2022-11-14,0,Standard 2022
30,403000,2022-11-15,2022-11-30,1,Black Friday 2022
30,447000,2022-12-01,2023-01-10,0,Pre-Tet
30,464000,2023-01-01,2023-11-14,0,Standard 2023
30,405000,2023-11-15,2023-11-30,1,Black Friday 2023
30,476000,2023-12-01,2024-01-10,0,Pre-Tet
30,499000,2024-01-01,2024-11-14,0,Standard 2024
30,399200,2024-11-15,2024-11-30,1,Black Friday 2024
30,499000,2024-12-01,2025-01-10,0,Pre-Tet
30,424150,2025-01-11,2025-01-31,1,Tet Sale 2025
30,499000,2025-02-01,2025-05-31,0,Standard Spring 2025
30,449100,2025-06-01,2025-07-15,1,Summer Sale 2025
30,523950,2025-07-16,2025-12-15,0,Standard End 2025
31,520000,2022-01-01,2022-11-14,0,Standard 2022
31,417000,2022-11-15,2022-11-30,1,Black Friday 2022
31,517000,2022-12-01,2023-01-10,0,Pre-Tet
31,543000,2023-01-01,2023-11-14,0,Standard 2023
31,421000,2023-11-15,2023-11-30,1,Black Friday 2023
31,551000,2023-12-01,2024-01-10,0,Pre-Tet
31,599000,2024-01-01,2024-11-14,0,Standard 2024
31,419300,2024-11-15,2024-11-30,1,Black Friday 2024
31,599000,2024-12-01,2025-01-10,0,Pre-Tet
31,539100,2025-01-11,2025-01-31,1,Tet Sale 2025
31,599000,2025-02-01,2025-05-31,0,Standard Spring 2025
31,539100,2025-06-01,2025-07-15,1,Summer Sale 2025
31,628950,2025-07-16,2025-12-15,0,Standard End 2025
39,433000,2022-01-01,2022-11-14,0,Standard 2022
39,395000,2022-11-15,2022-11-30,1,Black Friday 2022
39,448000,2022-12-01,2023-01-10,0,Pre-Tet
39,454000,2023-01-01,2023-11-14,0,Standard 2023
39,395000,2023-11-15,2023-11-30,1,Black Friday 2023
39,463000,2023-12-01,2024-01-10,0,Pre-Tet
39,499000,2024-01-01,2024-11-14,0,Standard 2024
39,399200,2024-11-15,2024-11-30,1,Black Friday 2024
39,499000,2024-12-01,2025-01-10,0,Pre-Tet
39,449100,2025-01-11,2025-01-31,1,Tet Sale 2025
39,499000,2025-02-01,2025-05-31,0,Standard Spring 2025
39,449100,2025-06-01,2025-07-15,1,Summer Sale 2025
39,523950,2025-07-16,2025-12-15,0,Standard End 2025
40,877000,2022-01-01,2022-11-14,0,Standard 2022
40,806000,2022-11-15,2022-11-30,1,Black Friday 2022
40,860000,2022-12-01,2023-01-10,0,Pre-Tet
40,906000,2023-01-01,2023-11-14,0,Standard 2023
40,810000,2023-11-15,2023-11-30,1,Black Friday 2023
40,916000,2023-12-01,2024-01-10,0,Pre-Tet
40,999000,2024-01-01,2024-11-14,0,Standard 2024
40,799200,2024-11-15,2024-11-30,1,Black Friday 2024
40,999000,2024-12-01,2025-01-10,0,Pre-Tet
40,899100,2025-01-11,2025-01-31,1,Tet Sale 2025
40,999000,2025-02-01,2025-05-31,0,Standard Spring 2025
40,899100,2025-06-01,2025-07-15,1,Summer Sale 2025
40,1048950,2025-07-16,2025-12-15,0,Standard End 2025
41,795000,2022-01-01,2022-11-14,0,Standard 2022
41,712000,2022-11-15,2022-11-30,1,Black Friday 2022
41,810000,2022-12-01,2023-01-10,0,Pre-Tet
41,833000,2023-01-01,2023-11-14,0,Standard 2023
41,726000,2023-11-15,2023-11-30,1,Black Friday 2023
41,860000,2023-12-01,2024-01-10,0,Pre-Tet
41,899000,2024-01-01,2024-11-14,0,Standard 2024
41,719200,2024-11-15,2024-11-30,1,Black Friday 2024
41,899000,2024-12-01,2025-01-10,0,Pre-Tet
41,809100,2025-01-11,2025-01-31,1,Tet Sale 2025
41,899000,2025-02-01,2025-05-31,0,Standard Spring 2025
41,809100,2025-06-01,2025-07-15,1,Summer Sale 2025
41,943950,2025-07-16,2025-12-15,0,Standard End 2025
56,860000,2022-01-01,2022-11-14,0,Standard 2022
56,827000,2022-11-15,2022-11-30,1,Black Friday 2022
56,869000,2022-12-01,2023-01-10,0,Pre-Tet
56,913000,2023-01-01,2023-11-14,0,Standard 2023
56,811000,2023-11-15,2023-11-30,1,Black Friday 2023
56,917000,2023-12-01,2024-01-10,0,Pre-Tet
56,999000,2024-01-01,2024-11-14,0,Standard 2024
56,799200,2024-11-15,2024-11-30,1,Black Friday 2024
56,999000,2024-12-01,2025-01-10,0,Pre-Tet
56,849150,2025-01-11,2025-01-31,1,Tet Sale 2025
56,999000,2025-02-01,2025-05-31,0,Standard Spring 2025
56,899100,2025-06-01,2025-07-15,1,Summer Sale 2025
56,1048950,2025-07-16,2025-12-15,0,Standard End 2025
57,313000,2022-01-01,2022-11-14,0,Standard 2022
57,281000,2022-11-15,2022-11-30,1,Black Friday 2022
57,298000,2022-12-01,2023-01-10,0,Pre-Tet
57,324000,2023-01-01,2023-11-14,0,Standard 2023
57,285000,2023-11-15,2023-11-30,1,Black Friday 2023
57,324000,2023-12-01,2024-01-10,0,Pre-Tet
57,349000,2024-01-01,2024-11-14,0,Standard 2024
57,279200,2024-11-15,2024-11-30,1,Black Friday 2024
57,349000,2024-12-01,2025-01-10,0,Pre-Tet
57,314100,2025-01-11,2025-01-31,1,Tet Sale 2025
57,349000,2025-02-01,2025-05-31,0,Standard Spring 2025
57,314100,2025-06-01,2025-07-15,1,Summer Sale 2025
57,366450,2025-07-16,2025-12-15,0,Standard End 2025
65,361000,2022-01-01,2022-11-14,0,Standard 2022
65,277000,2022-11-15,2022-11-30,1,Black Friday 2022
65,344000,2022-12-01,2023-01-10,0,Pre-Tet
65,372000,2023-01-01,2023-11-14,0,Standard 2023
65,278000,2023-11-15,2023-11-30,1,Black Friday 2023
65,365000,2023-12-01,2024-01-10,0,Pre-Tet
65,399000,2024-01-01,2024-11-14,0,Standard 2024
65,279300,2024-11-15,2024-11-30,1,Black Friday 2024
65,399000,2024-12-01,2025-01-10,0,Pre-Tet
65,359100,2025-01-11,2025-01-31,1,Tet Sale 2025
65,399000,2025-02-01,2025-05-31,0,Standard Spring 2025
65,359100,2025-06-01,2025-07-15,1,Summer Sale 2025
65,418950,2025-07-16,2025-12-15,0,Standard End 2025
66,455000,2022-01-01,2022-11-14,0,Standard 2022
66,349000,2022-11-15,2022-11-30,1,Black Friday 2022
66,449000,2022-12-01,2023-01-10,0,Pre-Tet
66,478000,2023-01-01,2023-11-14,0,Standard 2023
66,354000,2023-11-15,2023-11-30,1,Black Friday 2023
66,469000,2023-12-01,2024-01-10,0,Pre-Tet
66,499000,2024-01-01,2024-11-14,0,Standard 2024
66,349300,2024-11-15,2024-11-30,1,Black Friday 2024
66,499000,2024-12-01,2025-01-10,0,Pre-Tet
66,424150,2025-01-11,2025-01-31,1,Tet Sale 2025
66,499000,2025-02-01,2025-05-31,0,Standard Spring 2025
66,449100,2025-06-01,2025-07-15,1,Summer Sale 2025
66,523950,2025-07-16,2025-12-15,0,Standard End 2025
67,432000,2022-01-01,2022-11-14,0,Standard 2022
67,402000,2022-11-15,2022-11-30,1,Black Friday 2022
67,437000,2022-12-01,2023-01-10,0,Pre-Tet
67,458000,2023-01-01,2023-11-14,0,Standard 2023
67,406000,2023-11-15,2023-11-30,1,Black Friday 2023
67,466000,2023-12-01,2024-01-10,0,Pre-Tet
67,499000,2024-01-01,2024-11-14,0,Standard 2024
67,399200,2024-11-15,2024-11-30,1,Black Friday 2024
67,499000,2024-12-01,2025-01-10,0,Pre-Tet
67,424150,2025-01-11,2025-01-31,1,Tet Sale 2025
67,499000,2025-02-01,2025-05-31,0,Standard Spring 2025
67,449100,2025-06-01,2025-07-15,1,Summer Sale 2025
67,523950,2025-07-16,2025-12-15,0,Standard End 2025
82,272000,2022-01-01,2022-11-14,0,Standard 2022
82,205000,2022-11-15,2022-11-30,1,Black Friday 2022
82,253000,2022-12-01,2023-01-10,0,Pre-Tet
82,283000,2023-01-01,2023-11-14,0,Standard 2023
82,209000,2023-11-15,2023-11-30,1,Black Friday 2023
82,269000,2023-12-01,2024-01-10,0,Pre-Tet
82,299000,2024-01-01,2024-11-14,0,Standard 2024
82,209300,2024-11-15,2024-11-30,1,Black Friday 2024
82,299000,2024-12-01,2025-01-10,0,Pre-Tet
82,254150,2025-01-11,2025-01-31,1,Tet Sale 2025
82,299000,2025-02-01,2025-05-31,0,Standard Spring 2025
82,269100,2025-06-01,2025-07-15,1,Summer Sale 2025
82,313950,2025-07-16,2025-12-15,0,Standard End 2025
83,265000,2022-01-01,2022-11-14,0,Standard 2022
83,203000,2022-11-15,2022-11-30,1,Black Friday 2022
83,248000,2022-12-01,2023-01-10,0,Pre-Tet
83,286000,2023-01-01,2023-11-14,0,Standard 2023
83,206000,2023-11-15,2023-11-30,1,Black Friday 2023
83,269000,2023-12-01,2024-01-10,0,Pre-Tet
83,299000,2024-01-01,2024-11-14,0,Standard 2024
83,209300,2024-11-15,2024-11-30,1,Black Friday 2024
83,299000,2024-12-01,2025-01-10,0,Pre-Tet
83,269100,2025-01-11,2025-01-31,1,Tet Sale 2025
83,299000,2025-02-01,2025-05-31,0,Standard Spring 2025
83,269100,2025-06-01,2025-07-15,1,Summer Sale 2025
83,313950,2025-07-16,2025-12-15,0,Standard End 2025
91,893000,2022-01-01,2022-11-14,0,Standard 2022
91,703000,2022-11-15,2022-11-30,1,Black Friday 2022
91,912000,2022-12-01,2023-01-10,0,Pre-Tet
91,946000,2023-01-01,2023-11-14,0,Standard 2023
91,705000,2023-11-15,2023-11-30,1,Black Friday 2023
91,951000,2023-12-01,2024-01-10,0,Pre-Tet
91,999000,2024-01-01,2024-11-14,0,Standard 2024
91,699300,2024-11-15,2024-11-30,1,Black Friday 2024
91,999000,2024-12-01,2025-01-10,0,Pre-Tet
91,899100,2025-01-11,2025-01-31,1,Tet Sale 2025
91,999000,2025-02-01,2025-05-31,0,Standard Spring 2025
91,899100,2025-06-01,2025-07-15,1,Summer Sale 2025
91,1048950,2025-07-16,2025-12-15,0,Standard End 2025
92,353000,2022-01-01,2022-11-14,0,Standard 2022
92,282000,2022-11-15,2022-11-30,1,Black Friday 2022
92,360000,2022-12-01,2023-01-10,0,Pre-Tet
92,379000,2023-01-01,2023-11-14,0,Standard 2023
92,279000,2023-11-15,2023-11-30,1,Black Friday 2023
92,372000,2023-12-01,2024-01-10,0,Pre-Tet
92,399000,2024-01-01,2024-11-14,0,Standard 2024
92,279300,2024-11-15,2024-11-30,1,Black Friday 2024
92,399000,2024-12-01,2025-01-10,0,Pre-Tet
92,339150,2025-01-11,2025-01-31,1,Tet Sale 2025
92,399000,2025-02-01,2025-05-31,0,Standard Spring 2025
92,359100,2025-06-01,2025-07-15,1,Summer Sale 2025
92,418950,2025-07-16,2025-12-15,0,Standard End 2025
93,599000,2022-01-01,2022-11-14,0,Standard 2022
93,487000,2022-11-15,2022-11-30,1,Black Friday 2022
93,596000,2022-12-01,2023-01-10,0,Pre-Tet
93,631000,2023-01-01,2023-11-14,0,Standard 2023
93,485000,2023-11-15,2023-11-30,1,Black Friday 2023
93,637000,2023-12-01,2024-01-10,0,Pre-Tet
93,699000,2024-01-01,2024-11-14,0,Standard 2024
93,489299,2024-11-15,2024-11-30,1,Black Friday 2024
93,699000,2024-12-01,2025-01-10,0,Pre-Tet
93,594150,2025-01-11,2025-01-31,1,Tet Sale 2025
93,699000,2025-02-01,2025-05-31,0,Standard Spring 2025
93,629100,2025-06-01,2025-07-15,1,Summer Sale 2025
93,733950,2025-07-16,2025-12-15,0,Standard End 2025
108,717000,2022-01-01,2022-11-14,0,Standard 2022
108,641000,2022-11-15,2022-11-30,1,Black Friday 2022
108,693000,2022-12-01,2023-01-10,0,Pre-Tet
108,763000,2023-01-01,2023-11-14,0,Standard 2023
108,637000,2023-11-15,2023-11-30,1,Black Friday 2023
108,723000,2023-12-01,2024-01-10,0,Pre-Tet
108,799000,2024-01-01,2024-11-14,0,Standard 2024
108,639200,2024-11-15,2024-11-30,1,Black Friday 2024
108,799000,2024-12-01,2025-01-10,0,Pre-Tet
108,719100,2025-01-11,2025-01-31,1,Tet Sale 2025
108,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
108,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
108,838950,2025-07-16,2025-12-15,0,Standard End 2025
109,208000,2022-01-01,2022-11-14,0,Standard 2022
109,177000,2022-11-15,2022-11-30,1,Black Friday 2022
109,210000,2022-12-01,2023-01-10,0,Pre-Tet
109,226000,2023-01-01,2023-11-14,0,Standard 2023
109,174000,2023-11-15,2023-11-30,1,Black Friday 2023
109,226000,2023-12-01,2024-01-10,0,Pre-Tet
109,249000,2024-01-01,2024-11-14,0,Standard 2024
109,174300,2024-11-15,2024-11-30,1,Black Friday 2024
109,249000,2024-12-01,2025-01-10,0,Pre-Tet
109,211650,2025-01-11,2025-01-31,1,Tet Sale 2025
109,249000,2025-02-01,2025-05-31,0,Standard Spring 2025
109,224100,2025-06-01,2025-07-15,1,Summer Sale 2025
109,261450,2025-07-16,2025-12-15,0,Standard End 2025
117,683000,2022-01-01,2022-11-14,0,Standard 2022
117,651000,2022-11-15,2022-11-30,1,Black Friday 2022
117,724000,2022-12-01,2023-01-10,0,Pre-Tet
117,728000,2023-01-01,2023-11-14,0,Standard 2023
117,650000,2023-11-15,2023-11-30,1,Black Friday 2023
117,767000,2023-12-01,2024-01-10,0,Pre-Tet
117,799000,2024-01-01,2024-11-14,0,Standard 2024
117,639200,2024-11-15,2024-11-30,1,Black Friday 2024
117,799000,2024-12-01,2025-01-10,0,Pre-Tet
117,679150,2025-01-11,2025-01-31,1,Tet Sale 2025
117,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
117,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
117,838950,2025-07-16,2025-12-15,0,Standard End 2025
118,515000,2022-01-01,2022-11-14,0,Standard 2022
118,415000,2022-11-15,2022-11-30,1,Black Friday 2022
118,511000,2022-12-01,2023-01-10,0,Pre-Tet
118,539000,2023-01-01,2023-11-14,0,Standard 2023
118,422000,2023-11-15,2023-11-30,1,Black Friday 2023
118,553000,2023-12-01,2024-01-10,0,Pre-Tet
118,599000,2024-01-01,2024-11-14,0,Standard 2024
118,419300,2024-11-15,2024-11-30,1,Black Friday 2024
118,599000,2024-12-01,2025-01-10,0,Pre-Tet
118,509150,2025-01-11,2025-01-31,1,Tet Sale 2025
118,599000,2025-02-01,2025-05-31,0,Standard Spring 2025
118,539100,2025-06-01,2025-07-15,1,Summer Sale 2025
118,628950,2025-07-16,2025-12-15,0,Standard End 2025
119,523000,2022-01-01,2022-11-14,0,Standard 2022
119,471000,2022-11-15,2022-11-30,1,Black Friday 2022
119,525000,2022-12-01,2023-01-10,0,Pre-Tet
119,568000,2023-01-01,2023-11-14,0,Standard 2023
119,474000,2023-11-15,2023-11-30,1,Black Friday 2023
119,547000,2023-12-01,2024-01-10,0,Pre-Tet
119,599000,2024-01-01,2024-11-14,0,Standard 2024
119,479200,2024-11-15,2024-11-30,1,Black Friday 2024
119,599000,2024-12-01,2025-01-10,0,Pre-Tet
119,539100,2025-01-11,2025-01-31,1,Tet Sale 2025
119,599000,2025-02-01,2025-05-31,0,Standard Spring 2025
119,539100,2025-06-01,2025-07-15,1,Summer Sale 2025
119,628950,2025-07-16,2025-12-15,0,Standard End 2025
134,260000,2022-01-01,2022-11-14,0,Standard 2022
134,245000,2022-11-15,2022-11-30,1,Black Friday 2022
134,264000,2022-12-01,2023-01-10,0,Pre-Tet
134,275000,2023-01-01,2023-11-14,0,Standard 2023
134,242000,2023-11-15,2023-11-30,1,Black Friday 2023
134,278000,2023-12-01,2024-01-10,0,Pre-Tet
134,299000,2024-01-01,2024-11-14,0,Standard 2024
134,239200,2024-11-15,2024-11-30,1,Black Friday 2024
134,299000,2024-12-01,2025-01-10,0,Pre-Tet
134,254150,2025-01-11,2025-01-31,1,Tet Sale 2025
134,299000,2025-02-01,2025-05-31,0,Standard Spring 2025
134,269100,2025-06-01,2025-07-15,1,Summer Sale 2025
134,313950,2025-07-16,2025-12-15,0,Standard End 2025
135,276000,2022-01-01,2022-11-14,0,Standard 2022
135,211000,2022-11-15,2022-11-30,1,Black Friday 2022
135,267000,2022-12-01,2023-01-10,0,Pre-Tet
135,286000,2023-01-01,2023-11-14,0,Standard 2023
135,207000,2023-11-15,2023-11-30,1,Black Friday 2023
135,286000,2023-12-01,2024-01-10,0,Pre-Tet
135,299000,2024-01-01,2024-11-14,0,Standard 2024
135,209300,2024-11-15,2024-11-30,1,Black Friday 2024
135,299000,2024-12-01,2025-01-10,0,Pre-Tet
135,269100,2025-01-11,2025-01-31,1,Tet Sale 2025
135,299000,2025-02-01,2025-05-31,0,Standard Spring 2025
135,269100,2025-06-01,2025-07-15,1,Summer Sale 2025
135,313950,2025-07-16,2025-12-15,0,Standard End 2025
143,708000,2022-01-01,2022-11-14,0,Standard 2022
143,618000,2022-11-15,2022-11-30,1,Black Friday 2022
143,689000,2022-12-01,2023-01-10,0,Pre-Tet
143,746000,2023-01-01,2023-11-14,0,Standard 2023
143,629000,2023-11-15,2023-11-30,1,Black Friday 2023
143,742000,2023-12-01,2024-01-10,0,Pre-Tet
143,799000,2024-01-01,2024-11-14,0,Standard 2024
143,639200,2024-11-15,2024-11-30,1,Black Friday 2024
143,799000,2024-12-01,2025-01-10,0,Pre-Tet
143,719100,2025-01-11,2025-01-31,1,Tet Sale 2025
143,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
143,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
143,838950,2025-07-16,2025-12-15,0,Standard End 2025
144,725000,2022-01-01,2022-11-14,0,Standard 2022
144,644000,2022-11-15,2022-11-30,1,Black Friday 2022
144,720000,2022-12-01,2023-01-10,0,Pre-Tet
144,753000,2023-01-01,2023-11-14,0,Standard 2023
144,642000,2023-11-15,2023-11-30,1,Black Friday 2023
144,767000,2023-12-01,2024-01-10,0,Pre-Tet
144,799000,2024-01-01,2024-11-14,0,Standard 2024
144,639200,2024-11-15,2024-11-30,1,Black Friday 2024
144,799000,2024-12-01,2025-01-10,0,Pre-Tet
144,679150,2025-01-11,2025-01-31,1,Tet Sale 2025
144,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
144,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
144,838950,2025-07-16,2025-12-15,0,Standard End 2025
145,254000,2022-01-01,2022-11-14,0,Standard 2022
145,242000,2022-11-15,2022-11-30,1,Black Friday 2022
145,266000,2022-12-01,2023-01-10,0,Pre-Tet
145,272000,2023-01-01,2023-11-14,0,Standard 2023
145,240000,2023-11-15,2023-11-30,1,Black Friday 2023
145,274000,2023-12-01,2024-01-10,0,Pre-Tet
145,299000,2024-01-01,2024-11-14,0,Standard 2024
145,239200,2024-11-15,2024-11-30,1,Black Friday 2024
145,299000,2024-12-01,2025-01-10,0,Pre-Tet
145,254150,2025-01-11,2025-01-31,1,Tet Sale 2025
145,299000,2025-02-01,2025-05-31,0,Standard Spring 2025
145,269100,2025-06-01,2025-07-15,1,Summer Sale 2025
145,313950,2025-07-16,2025-12-15,0,Standard End 2025
160,846000,2022-01-01,2022-11-14,0,Standard 2022
160,806000,2022-11-15,2022-11-30,1,Black Friday 2022
160,877000,2022-12-01,2023-01-10,0,Pre-Tet
160,913000,2023-01-01,2023-11-14,0,Standard 2023
160,790000,2023-11-15,2023-11-30,1,Black Friday 2023
160,926000,2023-12-01,2024-01-10,0,Pre-Tet
160,999000,2024-01-01,2024-11-14,0,Standard 2024
160,799200,2024-11-15,2024-11-30,1,Black Friday 2024
160,999000,2024-12-01,2025-01-10,0,Pre-Tet
160,849150,2025-01-11,2025-01-31,1,Tet Sale 2025
160,999000,2025-02-01,2025-05-31,0,Standard Spring 2025
160,899100,2025-06-01,2025-07-15,1,Summer Sale 2025
160,1048950,2025-07-16,2025-12-15,0,Standard End 2025
161,755000,2022-01-01,2022-11-14,0,Standard 2022
161,727000,2022-11-15,2022-11-30,1,Black Friday 2022
161,801000,2022-12-01,2023-01-10,0,Pre-Tet
161,813000,2023-01-01,2023-11-14,0,Standard 2023
161,730000,2023-11-15,2023-11-30,1,Black Friday 2023
161,848000,2023-12-01,2024-01-10,0,Pre-Tet
161,899000,2024-01-01,2024-11-14,0,Standard 2024
161,719200,2024-11-15,2024-11-30,1,Black Friday 2024
161,899000,2024-12-01,2025-01-10,0,Pre-Tet
161,809100,2025-01-11,2025-01-31,1,Tet Sale 2025
161,899000,2025-02-01,2025-05-31,0,Standard Spring 2025
161,809100,2025-06-01,2025-07-15,1,Summer Sale 2025
161,943950,2025-07-16,2025-12-15,0,Standard End 2025
169,219000,2022-01-01,2022-11-14,0,Standard 2022
169,199000,2022-11-15,2022-11-30,1,Black Friday 2022
169,223000,2022-12-01,2023-01-10,0,Pre-Tet
169,235000,2023-01-01,2023-11-14,0,Standard 2023
169,198000,2023-11-15,2023-11-30,1,Black Friday 2023
169,233000,2023-12-01,2024-01-10,0,Pre-Tet
169,249000,2024-01-01,2024-11-14,0,Standard 2024
169,199200,2024-11-15,2024-11-30,1,Black Friday 2024
169,249000,2024-12-01,2025-01-10,0,Pre-Tet
169,224100,2025-01-11,2025-01-31,1,Tet Sale 2025
169,249000,2025-02-01,2025-05-31,0,Standard Spring 2025
169,224100,2025-06-01,2025-07-15,1,Summer Sale 2025
169,261450,2025-07-16,2025-12-15,0,Standard End 2025
170,790000,2022-01-01,2022-11-14,0,Standard 2022
170,630000,2022-11-15,2022-11-30,1,Black Friday 2022
170,769000,2022-12-01,2023-01-10,0,Pre-Tet
170,822000,2023-01-01,2023-11-14,0,Standard 2023
170,639000,2023-11-15,2023-11-30,1,Black Friday 2023
170,817000,2023-12-01,2024-01-10,0,Pre-Tet
170,899000,2024-01-01,2024-11-14,0,Standard 2024
170,629300,2024-11-15,2024-11-30,1,Black Friday 2024
170,899000,2024-12-01,2025-01-10,0,Pre-Tet
170,809100,2025-01-11,2025-01-31,1,Tet Sale 2025
170,899000,2025-02-01,2025-05-31,0,Standard Spring 2025
170,809100,2025-06-01,2025-07-15,1,Summer Sale 2025
170,943950,2025-07-16,2025-12-15,0,Standard End 2025
171,696000,2022-01-01,2022-11-14,0,Standard 2022
171,567000,2022-11-15,2022-11-30,1,Black Friday 2022
171,728000,2022-12-01,2023-01-10,0,Pre-Tet
171,743000,2023-01-01,2023-11-14,0,Standard 2023
171,567000,2023-11-15,2023-11-30,1,Black Friday 2023
171,752000,2023-12-01,2024-01-10,0,Pre-Tet
171,799000,2024-01-01,2024-11-14,0,Standard 2024
171,559300,2024-11-15,2024-11-30,1,Black Friday 2024
171,799000,2024-12-01,2025-01-10,0,Pre-Tet
171,679150,2025-01-11,2025-01-31,1,Tet Sale 2025
171,799000,2025-02-01,2025-05-31,0,Standard Spring 2025
171,719100,2025-06-01,2025-07-15,1,Summer Sale 2025
171,838950,2025-07-16,2025-12-15,0,Standard End 2025
186,209000,2022-01-01,2022-11-14,0,Standard 2022
186,173000,2022-11-15,2022-11-30,1,Black Friday 2022
186,223000,2022-12-01,2023-01-10,0,Pre-Tet
186,227000,2023-01-01,2023-11-14,0,Standard 2023
186,175000,2023-11-15,2023-11-30,1,Black Friday 2023
186,237000,2023-12-01,2024-01-10,0,Pre-Tet
186,249000,2024-01-01,2024-11-14,0,Standard 2024
186,174300,2024-11-15,2024-11-30,1,Black Friday 2024
186,249000,2024-12-01,2025-01-10,0,Pre-Tet
186,211650,2025-01-11,2025-01-31,1,Tet Sale 2025
186,249000,2025-02-01,2025-05-31,0,Standard Spring 2025
186,224100,2025-06-01,2025-07-15,1,Summer Sale 2025
186,261450,2025-07-16,2025-12-15,0,Standard End 2025
187,220000,2022-01-01,2022-11-14,0,Standard 2022
187,202000,2022-11-15,2022-11-30,1,Black Friday 2022
187,219000,2022-12-01,2023-01-10,0,Pre-Tet
187,230000,2023-01-01,2023-11-14,0,Standard 2023
187,202000,2023-11-15,2023-11-30,1,Black Friday 2023
