Product ID,Category,Sub Category,Description PT,Description DE,Description FR,Description ES,Description EN,Description ZH,Color,Sizes,Production Cost,Brand_VN,Name_VN,Price_VND,image_url,model_3d_url
118,Masculine,T-shirts and Polos,Luxuoso Cetim Bordô Com Botões,Luxuriöser Burgunderatin Mit Knöpfen,Satin Bordeaux Luxueux Avec Boutons,Lujoso Satén Borgoña Con Botones,Luxurious Burgundy Satin With Buttons,豪华的勃艮第缎子和纽扣,BURGUNDY,M|L|XL|XXL,30.18,Zara,Zara BURGUNDY Streetwear Tee 101,599000,,
119,Masculine,Shirts,Camisa De Linho Masculina,Herren -Leinenhemd,Chemise En Lin Pour Hommes,Camisa De Lino Para Hombres,Men'S Linen Shirt,男士亚麻衬衫,,M|L|XL|XXL,5.78,Coolmate,Coolmate Basic Streetwear Tee 871,599000,,
134,Feminine,Shirts and Blouses,Blusa De Seda Estampada,Gedruckte Seidenbluse,Chemisier En Soie Imprimé,Blusa De Seda Estampada,Printed Silk Blouse,印刷的真丝上衣,,S|M|L|XL,25.07,DirtyCoins,DirtyCoins Basic Streetwear Tee 802,299000,,
135,Feminine,T-shirts and Tops,Top De Crochê Estiloso,Stylish Häkeloberteil,Haut De Crochet Élégant,Top De Crochet Elegante,Stylish Crochet Top,时尚的钩针上衣,,S|M|L|XL,6.95,Coolmate,Coolmate Basic Streetwear Tee 655,299000,,
143,Masculine,Sweaters and Sweatshirts,Vintage Poliéster Preto Com Botões,Vintage Black Polyester Mit Knöpfen,Polyester Noir Vintage Avec Boutons,Poliéster Negro Vintage Con Botones,Vintage Black Polyester With Buttons,老式黑色聚酯键带按钮,BLACK,M|L|XL|XXL,11.82,Coolmate,Coolmate BLACK Streetwear Tee 369,799000,,
144,Masculine,T-shirts and Polos,Esportivo Couro Turquesa Com Bolsos,Türkisfarbene Ledersportarten Mit Taschen,Sports En Cuir Turquoise Avec Des Poches,Deportes De Cuero Turquesa Con Bolsillos,Turquoise Leather Sports With Pockets,绿松石皮革运动和口袋,TURQUOISE,M|L|XL,29.45,Zara,Zara TURQUOISE Streetwear Tee 801,799000,,
145,Masculine,Shirts,Camisa Jeans Masculina,Herren -Jeanshemd,Chemise En Jean Masculin,Camisa Jeans Masculina,Men'S Denim Shirt,男士的牛仔衬衫,,M|L|XL,11.58,DirtyCoins,DirtyCoins Basic Streetwear Tee 819,299000,,
160,Feminine,Shirts and Blouses,Camisa De Linho Feminina,Frauen -Leinenhemd,Chemise En Lin Pour Femmes,Camisa De Linho Feminina,Women'S Linen Shirt,女士亚麻衬衫,,S|M|L|XL,5.28,DirtyCoins,DirtyCoins Basic Streetwear Tee 891,999000,,
161,Feminine,T-shirts and Tops,T-Shirt Com Gola V,T-Shirt Com Gola V,T-Shirt Com Gola V,Camiseta Com Gola V,T-Shirt Com Gola V,T恤Com Gola V,,S|M|L|XL,10.0,Routine,Routine Basic Streetwear Tee 863,899000,,
169,Masculine,Sweaters and Sweatshirts,Boho Denim Prateado Com Zíper,Boho Jeans Silber Mit Reißverschluss,Boho Denim Silver Avec Fermeture Éclair,Boho Denim Silver Con Cremallera,Boho Denim Silver With Zipper,波西米亚风与拉链的牛仔银,SILVER,M|L|XL|XXL,19.2,DirtyCoins,DirtyCoins SILVER Streetwear Tee 114,249000,,
170,Masculine,T-shirts and Polos,Punk Veludo Rosa Com Capuz,Punk -Samtrosa Mit Kapuze,En Velours Punk Rose Avec Capuche,Punk Velvet Pink Con Capucha,Punk Velvet Pink With Hood,朋克天鹅绒粉红色与引擎盖,PINK,M|L|XL|XXL,5.76,Routine,Routine PINK Streetwear Tee 938,899000,,
171,Masculine,Shirts,Camisa De Algodão Slim Fit,Schlankes Fites Baumwollhemd,Chemise En Coton Slim Fit,Camisa De Algodón De Ajuste Delgado,Slim Fit Cotton Shirt,纤细的棉衬衫,,M|L|XL|XXL,14.43,Routine,Routine Basic Streetwear Tee 747,799000,,
186,Feminine,Shirts and Blouses,Blusa Cropped Manga Bufante,Blusa Cropped Manga Buffalo,Busa Buffalo Manga Recadré,Blusa Cropped Manga Bufante,Blusa Cropped Manga Buffalo,布鲁萨裁剪漫画布法罗,,S|M|L|XL,5.19,H&M,H&M Basic Streetwear Tee 598,249000,,
187,Feminine,T-shirts and Tops,Top De Seda Com Detalhe Em Nó,Seidenoberteil Mit Knotendetails,Haut De Soie Avec Détail Nœud,Top De Seda Con Detalle De Nodo,Silk Top With Node Detail,带有节点细节的丝绸上衣,,S|M|L|XL,13.51,H&M,H&M Basic Streetwear Tee 518,249000,,
195,Masculine,Sweaters and Sweatshirts,Casual Cetim Preto Com Bolsos,Lässiger Schwarzer Satin Mit Taschen,Satin Noir Décontracté Avec Poches,Satén Negro Casual Con Bolsillos,Casual Black Satin With Pockets,休闲黑色缎子和口袋,BLACK,M|L|XL|XXL,15.13,H&M,H&M BLACK Streetwear Tee 872,999000,,
196,Masculine,T-shirts and Polos,Clássico Seda Bordô Liso,Smooth Bordeland Classic,Smooth Bordeland Classic,Smooth Bordeland Classic,Smooth Bordeland Classic,光滑的Bordeland Classic,,M|L|XL|XXL,11.73,Coolmate,Coolmate Basic Streetwear Tee 140,699000,,
197,Masculine,Shirts,Camisa De Flanela Masculina,Herren -Flanellhemd,Chemise De Flanelle Masculine,Camisa De Franela Para Hombres,Men'S Flannel Shirt,男士法兰绒衬衫,,M|L|XL|XXL,10.54,Routine,Routine Basic Streetwear Tee 939,299000,,
212,Feminine,Shirts and Blouses,Camisa Xadrez Feminina,Frauen Kariertes Hemd,Chemise À Carreaux Pour Femmes,Camisa Xadrez Feminina,Women'S Plaid Shirt,女子格子衬衫,,S|M|L|XL,11.81,Routine,Routine Basic Streetwear Tee 147,699000,,
213,Feminine,T-shirts and Tops,T-Shirt Feminina Com Manga Curta,Frauen-T-Shirt Mit Kurzer Ärmel,T-Shirt Pour Femmes Avec Manches Courtes,Camiseta Para Mujeres Con Manga Corta,Women'S T-Shirt With Short Sleeve,女子T恤，短袖,,S|M|L|XL,10.9,DirtyCoins,DirtyCoins Basic Streetwear Tee 198,799000,,
221,Masculine,Sweaters and Sweatshirts,Casual Lã Bege Com Botões,Lässige Beige Wolle Mit Knöpfen,Laine Beige Décontractée Avec Boutons,Lana Beige Casual Con Botones,Casual Beige Wool With Buttons,随便的米色羊毛和纽扣,BEIGE,M|L|XL|XXL,12.32,H&M,H&M BEIGE Streetwear Tee 646,249000,,
222,Masculine,T-shirts and Polos,Luxuoso Veludo Verde Liso,Luxuriöser Glatter Grüner Samt,Velours Vert Lisse Luxueux,Velvet Verde Liso Lujoso,Luxurious Smooth Green Velvet,豪华的光滑绿色天鹅绒,GREEN,M|L|XL|XXL,3.89,H&M,H&M GREEN Streetwear Tee 712,349000,,
223,Masculine,Shirts,Camisa De Manga Longa Masculina,Herren -Langarmhemd,Chemise À Manches Longues Pour Hommes,Camisa De Manga Longa Masculina,Men'S Long Sleeve Shirt,男士长袖衬衫,,M|L|XL,6.63,Routine,Routine Basic Streetwear Tee 104,999000,,
238,Feminine,Shirts and Blouses,Blusa De Malha Leve,Leuchtenbluse,Chemisier De Vêtements Légers,Blusa De Ropa De Luz,Lightwear Blouse,灯衣上衣,,S|M|L|XL,9.35,H&M,H&M Basic Streetwear Tee 492,999000,,
239,Feminine,T-shirts and Tops,Top De Tule Com Detalhe De Renda,Tult Top Mit Einkommensdetails,Tult Top Avec Détail De Revenu,Top Top Con Detalle De Ingresos,Tult Top With Income Detail,带有收入细节的顶部,,S|M|L|XL,14.05,Coolmate,Coolmate Basic Streetwear Tee 991,349000,,
247,Masculine,Sweaters and Sweatshirts,Esportivo Cetim Azul Com Babados,Sport Blauer Satin Mit Rüschen,Sports Satin Bleu Avec Des Volants,Satén Azul Deportivo Con Volantes,Sports Blue Satin With Ruffles,运动蓝色缎子与荷叶边,BLUE,M|L|XL|XXL,10.29,Routine,Routine BLUE Streetwear Tee 663,399000,,
248,Masculine,T-shirts and Polos,Despojado Cetim Bordô Com Zíper,Stripped Burgunderatin Mit Reißverschluss,Satin Bordeaux Dépouillé Avec Fermeture Éclair,Satinado Borgoña Despojado Con Cremallera,Stripped Burgundy Satin With Zipper,用拉链剥去了勃艮第的缎子,BURGUNDY,M|L|XL|XXL,9.67,DirtyCoins,DirtyCoins BURGUNDY Streetwear Tee 506,699000,,
249,Masculine,Shirts,Camisa Básica Masculina,Herren -Basishemd,Chemise De Base Pour Hommes,Camisa Básica Masculina,Men'S Basic Shirt,男士的基本衬衫,,M|L|XL|XXL,9.09,DirtyCoins,DirtyCoins Basic Streetwear Tee 754,399000,,
