Interaction_ID,Customer_ID,Product_ID,Action_Type,Timestamp,Duration_Sec
INT_601108,38960,117,TRY_ON_VIRTUAL,12/26/2022 12:32,7
INT_986089,38960,117,ADD_TO_CART,12/26/2022 12:21,76
INT_260775,8338,39,VIEW_AR_CATALOG,12/29/2022 14:57,40
INT_446809,8338,39,VIEW_AR_CATALOG,12/31/2022 15:17,32
INT_891267,8338,39,ADD_TO_CART,12/29/2022 16:52,67
INT_965184,8338,39,TRY_ON_VIRTUAL,1/1/2023 14:12,81
INT_222402,811,93,SCAN_STOREFRONT,12/28/2022 18:34,86
INT_563556,811,93,TRY_ON_VIRTUAL,12/30/2022 15:04,70
INT_517009,811,93,TRY_ON_VIRTUAL,12/31/2022 14:34,9
INT_724785,45568,195,ADD_TO_CART,1/1/2023 18:26,53
INT_235230,45568,195,VIEW_AR_CATALOG,12/30/2022 14:49,63
INT_932972,45568,195,VIEW_AR_CATALOG,12/30/2022 16:34,109
INT_374907,45568,195,SCAN_STOREFRONT,12/30/2022 19:25,99
INT_150612,45568,195,TRY_ON_VIRTUAL,12/28/2022 15:12,57
INT_244528,45568,160,VIEW_AR_CATALOG,12/31/2022 18:08,77
INT_931538,45568,160,VIEW_AR_CATALOG,12/27/2022 19:30,8
INT_192193,45568,160,VIEW_AR_CATALOG,12/27/2022 14:43,76
INT_289089,38174,145,TRY_ON_VIRTUAL,12/31/2022 5:43,7
INT_740053,38174,145,ADD_TO_CART,12/30/2022 5:25,98
INT_798168,38174,145,TRY_ON_VIRTUAL,12/27/2022 5:42,51
INT_101252,38174,145,TRY_ON_VIRTUAL,12/26/2022 6:26,70
INT_705605,38174,145,TRY_ON_VIRTUAL,12/30/2022 8:10,102
INT_828913,8338,39,VIEW_AR_CATALOG,12/30/2022 22:13,95
INT_415557,8338,39,TRY_ON_VIRTUAL,12/29/2022 19:42,83
INT_170390,8338,39,TRY_ON_VIRTUAL,12/28/2022 23:21,85
INT_533027,8338,39,TRY_ON_VIRTUAL,12/27/2022 19:06,21
INT_323777,61909,65,TRY_ON_VIRTUAL,1/1/2023 19:13,70
INT_529802,61909,65,TRY_ON_VIRTUAL,12/28/2022 18:16,79
INT_779574,61909,65,VIEW_AR_CATALOG,12/30/2022 18:31,99
INT_682531,61909,65,VIEW_AR_CATALOG,12/30/2022 20:14,60
INT_526650,15905,221,TRY_ON_VIRTUAL,12/30/2022 8:52,54
INT_517170,15905,221,SCAN_STOREFRONT,12/28/2022 10:05,86
INT_136668,15905,221,VIEW_AR_CATALOG,12/29/2022 9:17,74
INT_247979,24422,249,VIEW_AR_CATALOG,12/28/2022 5:01,38
INT_191865,24422,249,TRY_ON_VIRTUAL,1/1/2023 7:36,77
INT_909006,24422,249,TRY_ON_VIRTUAL,12/31/2022 4:45,115
INT_283868,312438,247,VIEW_AR_CATALOG,12/30/2022 17:33,40
INT_572930,312438,247,VIEW_AR_CATALOG,1/1/2023 18:13,83
INT_735605,312438,247,VIEW_AR_CATALOG,12/26/2022 16:14,32
INT_668535,312438,247,SCAN_STOREFRONT,12/26/2022 17:03,30
INT_760482,52649,91,SCAN_STOREFRONT,12/30/2022 11:53,114
INT_953499,52649,91,VIEW_AR_CATALOG,12/30/2022 8:01,42
INT_670559,52649,91,VIEW_AR_CATALOG,12/30/2022 11:45,105
INT_101062,52649,91,VIEW_AR_CATALOG,12/29/2022 8:38,107
INT_672203,27045,196,VIEW_AR_CATALOG,12/31/2022 16:12,17
INT_732387,27045,196,VIEW_AR_CATALOG,12/29/2022 17:53,109
INT_126734,27045,196,TRY_ON_VIRTUAL,12/28/2022 15:52,90
INT_435623,27045,196,TRY_ON_VIRTUAL,12/31/2022 16:27,112
INT_294053,76399,93,SCAN_STOREFRONT,12/31/2022 9:09,68
INT_521240,76399,93,VIEW_AR_CATALOG,12/31/2022 7:01,26
INT_625893,76399,93,VIEW_AR_CATALOG,12/28/2022 7:32,8
INT_258518,76399,93,SCAN_STOREFRONT,12/27/2022 9:15,7
INT_890756,76399,93,ADD_TO_CART,12/30/2022 10:19,99
INT_784106,76399,92,SCAN_STOREFRONT,12/31/2022 7:10,10
INT_899666,76399,92,SCAN_STOREFRONT,12/27/2022 9:16,70
INT_441383,76399,92,TRY_ON_VIRTUAL,12/26/2022 7:27,49
INT_237541,76399,92,ADD_TO_CART,12/29/2022 8:37,72
INT_800947,29269,4,VIEW_AR_CATALOG,12/29/2022 13:22,51
INT_964909,29269,4,VIEW_AR_CATALOG,1/1/2023 15:37,41
INT_656542,29269,4,TRY_ON_VIRTUAL,12/27/2022 14:48,111
INT_485925,29269,4,VIEW_AR_CATALOG,12/30/2022 14:26,14
INT_401953,29269,4,VIEW_AR_CATALOG,12/28/2022 14:49,6
INT_208872,2830,170,SCAN_STOREFRONT,12/26/2022 12:09,79
INT_529474,2830,170,VIEW_AR_CATALOG,12/26/2022 13:12,53
INT_405073,2830,170,VIEW_AR_CATALOG,12/28/2022 9:54,79
INT_435842,101281,65,VIEW_AR_CATALOG,12/31/2022 19:19,44
INT_237023,101281,65,SCAN_STOREFRONT,12/27/2022 19:35,15
INT_451005,101281,65,SCAN_STOREFRONT,1/1/2023 16:46,41
INT_599097,28794,248,ADD_TO_CART,12/30/2022 18:56,93
INT_577272,28794,248,TRY_ON_VIRTUAL,12/28/2022 19:32,76
INT_139711,28794,248,TRY_ON_VIRTUAL,12/26/2022 18:30,42
INT_249646,35750,223,TRY_ON_VIRTUAL,12/26/2022 9:24,21
INT_192263,35750,223,TRY_ON_VIRTUAL,1/1/2023 8:43,55
INT_323810,35750,223,TRY_ON_VIRTUAL,12/27/2022 8:13,76
INT_957756,25418,238,TRY_ON_VIRTUAL,12/29/2022 20:07,98
INT_372933,25418,238,SCAN_STOREFRONT,12/26/2022 17:45,105
INT_465821,25418,238,VIEW_AR_CATALOG,12/30/2022 15:33,70
INT_343322,25418,238,SCAN_STOREFRONT,12/31/2022 20:17,42
INT_302967,190703,65,TRY_ON_VIRTUAL,12/26/2022 14:53,19
INT_164772,190703,65,TRY_ON_VIRTUAL,12/28/2022 16:25,72
INT_382753,190703,65,VIEW_AR_CATALOG,12/29/2022 15:48,119
INT_486858,49054,117,TRY_ON_VIRTUAL,12/29/2022 6:55,24
INT_114153,49054,117,VIEW_AR_CATALOG,12/30/2022 7:23,10
INT_306988,49054,117,VIEW_AR_CATALOG,12/26/2022 7:59,86
INT_191751,49054,117,SCAN_STOREFRONT,1/1/2023 9:46,80
INT_684567,49054,117,VIEW_AR_CATALOG,12/29/2022 9:24,110
INT_209945,2611,92,VIEW_AR_CATALOG,12/29/2022 13:28,55
INT_278954,2611,92,TRY_ON_VIRTUAL,12/28/2022 14:41,50
INT_278595,2611,92,VIEW_AR_CATALOG,12/28/2022 16:25,61
INT_532498,15465,169,TRY_ON_VIRTUAL,12/26/2022 18:05,25
INT_157545,15465,169,SCAN_STOREFRONT,12/26/2022 16:43,30
INT_950163,15465,169,TRY_ON_VIRTUAL,1/1/2023 17:57,79
INT_632954,40136,248,SCAN_STOREFRONT,12/31/2022 14:38,21
INT_871253,40136,248,VIEW_AR_CATALOG,12/30/2022 13:57,75
INT_906388,40136,248,ADD_TO_CART,12/29/2022 14:50,53
INT_891189,40136,248,VIEW_AR_CATALOG,12/28/2022 17:05,118
INT_119816,32622,143,VIEW_AR_CATALOG,1/1/2023 10:09,90
INT_306524,32622,143,VIEW_AR_CATALOG,12/29/2022 10:30,75
INT_881452,32622,143,VIEW_AR_CATALOG,1/1/2023 7:49,55
INT_159676,324262,187,TRY_ON_VIRTUAL,12/30/2022 18:44,97
INT_717895,324262,187,TRY_ON_VIRTUAL,12/27/2022 16:52,5
INT_357009,324262,187,TRY_ON_VIRTUAL,12/27/2022 16:21,96
INT_897917,324262,187,TRY_ON_VIRTUAL,1/1/2023 17:22,67
INT_374486,324262,187,ADD_TO_CART,12/29/2022 14:52,36
INT_283675,20325,56,SCAN_STOREFRONT,12/31/2022 8:31,59
INT_752465,20325,56,SCAN_STOREFRONT,12/29/2022 6:25,12
INT_605815,20325,56,VIEW_AR_CATALOG,1/1/2023 7:06,76
INT_578446,20325,56,TRY_ON_VIRTUAL,12/27/2022 7:04,55
INT_427073,6283,93,SCAN_STOREFRONT,12/29/2022 14:03,92
INT_999885,6283,93,SCAN_STOREFRONT,12/27/2022 13:39,72
INT_745588,6283,93,TRY_ON_VIRTUAL,12/29/2022 15:42,59
INT_378176,53317,15,VIEW_AR_CATALOG,12/26/2022 14:33,23
INT_543676,53317,15,TRY_ON_VIRTUAL,12/28/2022 18:20,6
INT_187955,53317,15,VIEW_AR_CATALOG,1/1/2023 15:39,6
INT_478387,53317,15,TRY_ON_VIRTUAL,12/30/2022 16:57,42
INT_238155,3603,143,VIEW_AR_CATALOG,1/1/2023 13:18,90
INT_356713,3603,143,TRY_ON_VIRTUAL,12/29/2022 12:24,63
INT_317215,3603,143,VIEW_AR_CATALOG,12/27/2022 13:29,118
INT_626861,3603,143,SCAN_STOREFRONT,12/30/2022 13:35,70
INT_941461,65015,247,TRY_ON_VIRTUAL,1/1/2023 6:07,114
INT_338009,65015,247,ADD_TO_CART,12/29/2022 6:54,102
INT_418277,65015,247,ADD_TO_CART,12/26/2022 8:13,89
INT_655941,7202,13,VIEW_AR_CATALOG,12/29/2022 8:07,41
INT_625910,7202,13,VIEW_AR_CATALOG,1/1/2023 7:32,90
INT_599512,7202,13,VIEW_AR_CATALOG,12/28/2022 8:21,95
INT_277900,7202,13,TRY_ON_VIRTUAL,12/31/2022 4:20,75
INT_610585,16423,169,TRY_ON_VIRTUAL,12/28/2022 11:37,6
INT_250322,16423,169,VIEW_AR_CATALOG,12/29/2022 11:34,119
INT_681780,16423,169,SCAN_STOREFRONT,12/31/2022 14:18,15
INT_517978,16423,169,VIEW_AR_CATALOG,12/29/2022 12:54,103
INT_516366,185873,160,ADD_TO_CART,12/31/2022 18:31,26
INT_683417,185873,160,VIEW_AR_CATALOG,12/28/2022 14:37,24
INT_771210,185873,160,SCAN_STOREFRONT,12/30/2022 15:39,113
INT_788281,185873,160,TRY_ON_VIRTUAL,12/30/2022 16:05,77
INT_658296,26691,197,SCAN_STOREFRONT,1/1/2023 16:20,108
INT_375494,26691,197,VIEW_AR_CATALOG,12/31/2022 18:04,118
INT_599883,26691,197,ADD_TO_CART,12/28/2022 16:41,106
INT_716036,19848,248,VIEW_AR_CATALOG,12/29/2022 13:54,53
INT_280553,19848,248,TRY_ON_VIRTUAL,12/28/2022 18:12,117
INT_756701,19848,248,ADD_TO_CART,12/26/2022 18:17,87
INT_111344,19848,248,TRY_ON_VIRTUAL,12/26/2022 16:00,84
INT_875435,4762,221,VIEW_AR_CATALOG,1/1/2023 15:03,30
INT_616142,4762,221,VIEW_AR_CATALOG,1/1/2023 16:06,20
INT_418420,4762,221,TRY_ON_VIRTUAL,12/26/2022 11:50,11
INT_386214,4762,221,VIEW_AR_CATALOG,12/27/2022 14:35,52
INT_855164,32509,171,TRY_ON_VIRTUAL,12/30/2022 13:39,98
INT_711600,32509,171,TRY_ON_VIRTUAL,12/29/2022 15:31,28
INT_982875,32509,171,TRY_ON_VIRTUAL,12/30/2022 15:26,7
INT_234055,32509,171,TRY_ON_VIRTUAL,12/28/2022 14:23,91
INT_941052,18780,134,TRY_ON_VIRTUAL,12/26/2022 18:59,17
INT_354444,18780,134,TRY_ON_VIRTUAL,12/31/2022 16:22,70
INT_559297,18780,134,VIEW_AR_CATALOG,12/26/2022 15:16,17
INT_541759,18780,134,ADD_TO_CART,12/28/2022 14:29,43
INT_522845,18780,134,VIEW_AR_CATALOG,12/27/2022 18:34,66
INT_919471,16520,109,SCAN_STOREFRONT,12/29/2022 6:18,115
INT_729661,16520,109,TRY_ON_VIRTUAL,1/1/2023 4:57,107
INT_132733,16520,109,VIEW_AR_CATALOG,12/29/2022 8:18,49
INT_999005,20554,249,TRY_ON_VIRTUAL,12/28/2022 10:25,52
INT_497710,20554,249,VIEW_AR_CATALOG,1/2/2023 11:38,92
INT_601946,20554,249,ADD_TO_CART,12/30/2022 10:31,65
INT_756166,20554,249,SCAN_STOREFRONT,12/29/2022 9:33,50
INT_279352,12887,134,SCAN_STOREFRONT,12/28/2022 14:59,8
INT_550195,12887,134,SCAN_STOREFRONT,12/31/2022 17:33,58
INT_963561,12887,134,VIEW_AR_CATALOG,12/29/2022 14:42,61
INT_286626,12887,134,SCAN_STOREFRONT,1/1/2023 14:44,9
INT_565966,12887,134,VIEW_AR_CATALOG,12/29/2022 17:51,13
INT_388316,16298,160,VIEW_AR_CATALOG,12/30/2022 7:03,39
INT_474999,16298,160,SCAN_STOREFRONT,1/1/2023 10:02,103
INT_893719,16298,160,SCAN_STOREFRONT,12/28/2022 6:35,93
INT_134701,16298,160,SCAN_STOREFRONT,1/2/2023 9:56,15
INT_617083,16298,160,TRY_ON_VIRTUAL,1/2/2023 9:01,71
INT_915624,40045,169,VIEW_AR_CATALOG,1/1/2023 14:55,29
INT_125559,40045,169,VIEW_AR_CATALOG,12/29/2022 13:59,42
INT_212217,40045,169,TRY_ON_VIRTUAL,12/31/2022 14:49,41
INT_225991,48338,195,SCAN_STOREFRONT,12/30/2022 16:39,66
INT_228322,48338,195,VIEW_AR_CATALOG,12/29/2022 16:05,102
INT_199616,48338,195,SCAN_STOREFRONT,12/31/2022 14:03,23
INT_576840,19674,197,VIEW_AR_CATALOG,12/31/2022 11:46,49
INT_998217,19674,197,VIEW_AR_CATALOG,1/2/2023 9:44,31
INT_777894,19674,197,SCAN_STOREFRONT,12/28/2022 9:37,49
INT_671926,48288,145,VIEW_AR_CATALOG,1/2/2023 16:04,36
INT_142534,48288,145,VIEW_AR_CATALOG,12/31/2022 13:57,104
INT_289004,48288,145,TRY_ON_VIRTUAL,1/1/2023 13:09,43
INT_588972,48288,145,TRY_ON_VIRTUAL,1/1/2023 12:51,117
INT_268383,29941,221,TRY_ON_VIRTUAL,1/2/2023 13:44,39
INT_580488,29941,221,ADD_TO_CART,12/28/2022 16:13,67
INT_331758,29941,221,ADD_TO_CART,12/30/2022 16:27,97
INT_238563,63643,161,VIEW_AR_CATALOG,12/30/2022 9:18,21
INT_353973,63643,161,TRY_ON_VIRTUAL,12/30/2022 10:07,86
INT_530783,63643,161,TRY_ON_VIRTUAL,1/1/2023 8:50,80
INT_973698,63643,161,TRY_ON_VIRTUAL,12/30/2022 9:09,80
INT_632101,42244,161,VIEW_AR_CATALOG,12/29/2022 16:41,36
INT_327286,42244,161,TRY_ON_VIRTUAL,12/31/2022 16:16,50
INT_769648,42244,161,VIEW_AR_CATALOG,1/1/2023 12:29,109
INT_666134,42244,161,SCAN_STOREFRONT,12/27/2022 12:43,79
INT_553761,42244,161,SCAN_STOREFRONT,12/30/2022 12:26,88
INT_677218,23641,222,ADD_TO_CART,12/31/2022 15:34,112
INT_532430,23641,222,TRY_ON_VIRTUAL,12/30/2022 15:40,63
INT_462130,23641,222,VIEW_AR_CATALOG,12/30/2022 11:39,7
INT_899289,23641,222,SCAN_STOREFRONT,12/31/2022 11:44,19
INT_650719,17707,171,SCAN_STOREFRONT,12/28/2022 21:08,28
INT_531374,17707,171,TRY_ON_VIRTUAL,12/29/2022 19:17,31
INT_529660,17707,171,SCAN_STOREFRONT,12/29/2022 21:26,83
INT_447697,17707,171,SCAN_STOREFRONT,12/30/2022 20:57,7
INT_931291,1353,118,ADD_TO_CART,12/30/2022 14:52,24
INT_430904,1353,118,VIEW_AR_CATALOG,12/28/2022 17:38,75
INT_658819,1353,118,TRY_ON_VIRTUAL,1/2/2023 13:57,52
INT_891541,9886,13,VIEW_AR_CATALOG,12/30/2022 16:48,6
INT_709996,9886,13,VIEW_AR_CATALOG,12/31/2022 19:18,25
INT_993093,9886,13,VIEW_AR_CATALOG,1/1/2023 18:47,49
INT_545864,38747,143,VIEW_AR_CATALOG,1/2/2023 17:43,90
INT_830664,38747,143,VIEW_AR_CATALOG,12/31/2022 17:57,50
INT_867285,38747,143,TRY_ON_VIRTUAL,12/27/2022 18:05,24
INT_294555,74329,82,VIEW_AR_CATALOG,1/1/2023 6:55,101
INT_276076,74329,82,VIEW_AR_CATALOG,1/2/2023 7:04,81
INT_936501,74329,82,VIEW_AR_CATALOG,12/30/2022 8:23,42
INT_438041,34346,108,SCAN_STOREFRONT,1/1/2023 11:35,102
INT_495141,34346,108,TRY_ON_VIRTUAL,1/1/2023 12:26,77
INT_257087,34346,108,VIEW_AR_CATALOG,12/27/2022 10:46,80
INT_506845,34346,108,TRY_ON_VIRTUAL,1/1/2023 13:05,11
INT_198511,34346,108,TRY_ON_VIRTUAL,12/31/2022 13:05,62
INT_252360,65852,57,VIEW_AR_CATALOG,1/2/2023 13:39,18
INT_241398,65852,57,TRY_ON_VIRTUAL,1/1/2023 13:30,29
INT_787250,65852,57,ADD_TO_CART,12/30/2022 9:39,104
INT_734486,65852,57,TRY_ON_VIRTUAL,12/30/2022 10:01,36
INT_568933,49132,4,SCAN_STOREFRONT,12/31/2022 15:34,26
INT_869666,49132,4,VIEW_AR_CATALOG,12/30/2022 15:57,119
INT_902741,49132,4,VIEW_AR_CATALOG,1/1/2023 15:23,101
INT_608062,49132,4,TRY_ON_VIRTUAL,12/28/2022 13:23,28
INT_912395,49132,4,SCAN_STOREFRONT,12/31/2022 16:52,64
INT_820488,23734,93,TRY_ON_VIRTUAL,1/3/2023 15:48,102
INT_389102,23734,93,ADD_TO_CART,12/31/2022 16:18,10
INT_379922,23734,93,VIEW_AR_CATALOG,12/28/2022 13:21,16
INT_360116,23734,93,SCAN_STOREFRONT,1/1/2023 13:27,103
INT_309373,69608,197,VIEW_AR_CATALOG,12/31/2022 7:00,48
INT_395286,69608,197,TRY_ON_VIRTUAL,12/29/2022 10:58,42
INT_790493,69608,197,VIEW_AR_CATALOG,12/30/2022 10:19,115
INT_540280,69608,197,TRY_ON_VIRTUAL,12/29/2022 7:09,107
INT_429793,35767,15,SCAN_STOREFRONT,1/3/2023 20:13,9
INT_505804,35767,15,VIEW_AR_CATALOG,12/28/2022 17:57,35
INT_144738,35767,15,TRY_ON_VIRTUAL,1/1/2023 20:31,84
INT_482729,35767,15,TRY_ON_VIRTUAL,1/2/2023 19:08,109
INT_965962,1353,118,ADD_TO_CART,12/29/2022 19:15,61
INT_316184,1353,118,TRY_ON_VIRTUAL,12/28/2022 19:07,51
INT_192324,1353,118,SCAN_STOREFRONT,12/29/2022 20:27,48
INT_576410,14182,40,VIEW_AR_CATALOG,12/28/2022 12:47,118
INT_821864,14182,40,TRY_ON_VIRTUAL,12/29/2022 12:25,24
INT_574112,14182,40,VIEW_AR_CATALOG,1/2/2023 9:50,74
INT_858842,14182,40,VIEW_AR_CATALOG,12/30/2022 10:30,117
INT_743561,14182,40,VIEW_AR_CATALOG,1/1/2023 11:09,118
INT_751233,1941,196,VIEW_AR_CATALOG,1/1/2023 6:40,33
INT_744318,1941,196,VIEW_AR_CATALOG,1/3/2023 8:07,47
INT_909343,1941,196,VIEW_AR_CATALOG,1/2/2023 6:15,56
INT_497686,1941,196,VIEW_AR_CATALOG,1/2/2023 4:52,89
INT_778556,1941,196,TRY_ON_VIRTUAL,1/3/2023 4:22,9
INT_148320,24993,169,SCAN_STOREFRONT,12/29/2022 12:53,94
INT_128625,24993,169,TRY_ON_VIRTUAL,1/1/2023 13:54,12
INT_996880,24993,169,VIEW_AR_CATALOG,12/28/2022 11:56,76
INT_201376,24993,169,VIEW_AR_CATALOG,1/3/2023 10:59,84
INT_572132,24993,169,TRY_ON_VIRTUAL,12/29/2022 14:55,66
INT_599653,7541,66,VIEW_AR_CATALOG,1/2/2023 17:15,37
INT_735567,7541,66,SCAN_STOREFRONT,1/3/2023 18:58,81
INT_476188,7541,66,SCAN_STOREFRONT,12/28/2022 18:49,8
INT_136321,7541,66,SCAN_STOREFRONT,12/29/2022 20:08,109
INT_494583,4476,238,VIEW_AR_CATALOG,1/1/2023 18:18,75
INT_628014,4476,238,TRY_ON_VIRTUAL,1/3/2023 16:54,75
INT_990328,4476,238,TRY_ON_VIRTUAL,12/28/2022 18:54,100
INT_949881,4476,238,TRY_ON_VIRTUAL,1/3/2023 18:45,76
INT_731810,4476,238,TRY_ON_VIRTUAL,12/29/2022 16:02,76
INT_295804,12410,197,VIEW_AR_CATALOG,12/29/2022 14:56,16
INT_435914,12410,197,SCAN_STOREFRONT,12/30/2022 13:05,74
INT_950538,12410,197,VIEW_AR_CATALOG,12/29/2022 16:32,51
INT_401454,12410,197,VIEW_AR_CATALOG,12/30/2022 14:49,79
INT_870188,10358,41,VIEW_AR_CATALOG,12/28/2022 15:39,38
INT_848013,10358,41,VIEW_AR_CATALOG,12/29/2022 19:24,115
INT_221999,10358,41,VIEW_AR_CATALOG,12/31/2022 18:00,34
INT_800336,10358,41,ADD_TO_CART,1/2/2023 20:14,94
INT_275211,10358,41,VIEW_AR_CATALOG,1/3/2023 15:53,17
INT_845385,35210,143,VIEW_AR_CATALOG,12/28/2022 9:12,60
INT_732259,35210,143,VIEW_AR_CATALOG,12/31/2022 11:49,58
INT_957463,35210,143,TRY_ON_VIRTUAL,1/3/2023 10:21,51
INT_311830,35210,143,TRY_ON_VIRTUAL,1/1/2023 10:52,25
INT_325160,35210,143,SCAN_STOREFRONT,12/29/2022 9:33,19
INT_175388,20467,14,ADD_TO_CART,1/2/2023 18:42,28
INT_227834,20467,14,SCAN_STOREFRONT,1/3/2023 18:09,54
